Eliminate the Competition
Skywhaler's Shot
Tidy Conclusion
Toolcraft Exemplar
Live Fast
Propeller Pioneer
Thriving Ibex
Acrobatic Maneuver
Fragmentize
Pressure Point
Dukhara Scavenger
Bastion Mastodon
Tasseled Dromedary
Fortuitous Find
Gonti, Lord of Luxury
Glint-Sleeve Artisan
Kambal, Consul of Allocation
Tidy Conclusion
Dhund Operative
Aviary Mechanic
Live Fast
Subtle Strike
Eddytrail Hawk
Glint-Nest Crane
Fragmentize
Inspired Charge
Consulate Surveillance
Revolutionary Rebuff
Fairgrounds Warden
Weaponcraft Enthusiast
Propeller Pioneer
Weaponcraft Enthusiast
Restoration Gearsmith
Tidy Conclusion
Thriving Ibex
Revoke Privileges
Acrobatic Maneuver
Tezzeret's Ambition
Subtle Strike
Mind Rot
Dukhara Scavenger
Tasseled Dromedary
