Key to the City
Aerial Responder
Essence Extraction
Ovalchase Daredevil
Dhund Operative
Dhund Operative
Subtle Strike
Subtle Strike
Prakhata Pillar-Bug
Dukhara Peafowl
Fortuitous Find
Curio Vendor
Vedalken Blademaster
Fortuitous Find
Aethersquall Ancient
Tidy Conclusion
Skyship Stalker
Foundry Inspector
Aether Meltdown
Make Obsolete
Experimental Aviator
Nimble Innovator
Select for Inspection
Dukhara Peafowl
Aether Tradewinds
Dramatic Reversal
Pressure Point
Dramatic Reversal
Filigree Familiar
Foundry Screecher
Die Young
Subtle Strike
Thriving Ibex
Unlicensed Disintegration
Fortuitous Find
Maulfist Squad
Vedalken Blademaster
Harsh Scrutiny
Fortuitous Find
Workshop Assistant
Mind Rot
Take Down
