Metalwork Colossus
Padeem, Consul of Innovation
Experimental Aviator
Die Young
Janjeet Sentry
Contraband Kingpin
Gearseeker Serpent
Subtle Strike
Weldfast Wingsmith
Weldfast Wingsmith
Glassblower's Puzzleknot
Failed Inspection
Ornamental Courage
Woodweaver's Puzzleknot
Tidy Conclusion
Subtle Strike
Underhanded Designs
Aetherborn Marauder
Dukhara Peafowl
Thriving Rhino
Consulate Skygate
Contraband Kingpin
Make Obsolete
Hightide Hermit
Minister of Inquiries
Fortuitous Find
Appetite for the Unnatural
Dubious Challenge
Aetherborn Marauder
Glint-Nest Crane
Experimental Aviator
Nimble Innovator
Subtle Strike
Thriving Ibex
Live Fast
Workshop Assistant
Glint-Nest Crane
Workshop Assistant
Consulate Skygate
Mind Rot
Hightide Hermit
Hightide Hermit
