Noxious Gearhulk
Unlicensed Disintegration
Incendiary Sabotage
Maulfist Squad
Underhanded Designs
Dhund Operative
Quicksmith Genius
Reckless Fireweaver
Ovalchase Dragster
Fortuitous Find
Mind Rot
Inventor's Goggles
Night Market Lookout
Cathartic Reunion
Reckless Fireweaver
Harsh Scrutiny
Die Young
Maulfist Squad
Tidy Conclusion
Eager Construct
Eager Construct
Lawless Broker
Aether Hub
Rush of Vitality
Wind Drake
Hightide Hermit
Fortuitous Find
Wind Drake
Chandra's Pyrohelix
Syndicate Trafficker
Fabrication Module
Unlicensed Disintegration
Ovalchase Daredevil
Cathartic Reunion
Metalspinner's Puzzleknot
Inventor's Goggles
Prophetic Prism
Dukhara Scavenger
Spontaneous Artist
Built to Smash
Curio Vendor
Curio Vendor
