Aethersquall Ancient
Multiform Wonder
Thriving Rats
Panharmonicon
Janjeet Sentry
Paradoxical Outcome
Nimble Innovator
Weldfast Wingsmith
Gearseeker Serpent
Failed Inspection
Creeping Mold
Select for Inspection
Ornamental Courage
Reckless Fireweaver
Nature's Way
Filigree Familiar
Sage of Shaila's Claim
Aether Theorist
Riparian Tiger
Riparian Tiger
Deadlock Trap
Wind Drake
Gearseeker Serpent
Glassblower's Puzzleknot
Vedalken Blademaster
Disappearing Act
Ruinous Gremlin
Giant Spectacle
Renegade Freighter
Narnam Cobra
Highspire Artisan
Wildest Dreams
Wind Drake
Sky Skiff
Highspire Artisan
Gearseeker Serpent
Curio Vendor
Dramatic Reversal
Gearseeker Serpent
Workshop Assistant
Minister of Inquiries
Revolutionary Rebuff
