Eliminate the Competition
Arborback Stomper
Live Fast
Tidy Conclusion
Inventor's Goggles
Kujar Seedsculptor
Live Fast
Live Fast
Ambitious Aetherborn
Dhund Operative
Maulfist Squad
Night Market Lookout
Mind Rot
Night Market Lookout
Chandra's Pyrohelix
Tidy Conclusion
Armorcraft Judge
Weaponcraft Enthusiast
Aetherborn Marauder
Die Young
Fretwork Colony
Subtle Strike
Weaponcraft Enthusiast
Subtle Strike
Prakhata Club Security
Live Fast
Foundry Screecher
Wily Bandar
Weaponcraft Enthusiast
Cataclysmic Gearhulk
Gonti, Lord of Luxury
Dhund Operative
Syndicate Trafficker
Thriving Ibex
Lost Legacy
Dhund Operative
Lawless Broker
Dukhara Scavenger
Fortuitous Find
Metalspinner's Puzzleknot
Ruinous Gremlin
Mind Rot
